⺀	(⺀,Cd,,部首補充)
𮚝	(貝貝凡,MlMlId,,扩F)
𮚞	(貝一弋貝,MlFkWlMl,,扩F)
𮚟	(貝匚艹口,MlXmQlPr,,扩F)
𮚠	(丿㠯貝,LbUvHkMl,,扩F)
𮚡	(夫夫夫貝,XmXmXmMl,,扩F)
𮚢	(貝豆,MlGlXn,,扩F)
𮚣	(罒貝士心,DdMlNxVi,,扩F)
𮚤	(貝釆田,MlRuTy,,扩F)
𮚥	(广臼人貝,FiBqSkMl,,扩F)
𮚦	(京尢丶貝,NlSeMsMl,,扩F)
𮚧	(卯士四貝,TpNxDdMl,,扩F)
𮚨	(亡罒月貝⺃,LmDdJsHu,,扩F)
𮚩	(貝一豕,MlBmFkBy,,扩F)
𮚪	(貝宀一貝,MlDxFkMl,,扩F)
𮚫	(貝宀心皿丁,MlDxViNa,,扩F)
𮚬	(士罒貝门开,NxDdMlCm,,扩F)
𮚭	(目目八隹乂,FmFmAyQi,,扩F)
𮚮	(貝貝冖隹乂,MlMlOdQi,,扩F)
𮚯	(目貝貝,ZkFmPgMl,,扩F)
𮚰	(刀貝刀貝刀貝,JzMlJzMl,,扩F)
𮚱	(土刀貝,CkXlJzMl,,扩F)
𮚲	(走乛,UsBm,,扩F)
𮚳	(走彡,UsCd,,扩F)
𮚴	(走夫,UsXm,,扩F)
𮚵	(走弓丨,UsDzGp,,扩F)
𮚶	(走小,UsGoIg,,扩F)
𮚷	(走⺀大,UsCdNf,,扩F)
𮚸	(走共,UsLi,,扩F)
𮚹	(走口,UsDnPr,,扩F)
𮚺	(走厂䒑十,UsLsRcEo,,扩F)
𮚻	(走,UsNaEg,,扩F)
𮚼	(走亻足,UsIuHb,,扩F)
𮚽	(走王王,UsKsRjKs,,扩F)
𮚾	(走㠯,UsHkUv,,扩F)
𮚿	(走壴口,UsMtPr,,扩F)
𮛀	(走广龷由八,UsFiXjAy,,扩F)
𮛁	(乛,HbBm,,扩F)
𮛂	(九,HbTq,,扩F)
𮛃	(下,HbTk,,扩F)
𮛄	(土,HbCk,,扩F)
𮛅	(上足,UxHb,,扩F)
𮛆	(巾,HbSu,,扩F)
𮛇	(亡,HbLm,,扩F)
𮛈	(阝,HbEr,,扩F)
𮛉	(五,HbIs,,扩F)
𮛊	(厂㔾,HbLsJf,,扩F)
𮛋	(手,HbCj,,扩F)
𮛌	(公,HbWh,,扩F)
𮛍	(分足,DjHb,,扩F)
𮛎	(足,HbWj,,扩F)
𮛏	(工,HbEoIv,,扩F)
𮛐	(正,HbNt,,扩F)
𮛑	(上卜,HbUxPg,,扩F)
𮛒	(夕卜,HbQyPg,,扩F)
𮛓	(⺀大,HbCdNf,,扩F)
𮛔	(䒑二,HbRcHt,,扩F)
𮛕	(丶,HbMsBk,,扩F)
𮛖	(女又足,OuZnHb,,扩F)
𮛗	(彐,HbIgQj,,扩F)
𮛘	(囗大,HbXtNf,,扩F)
𮛙	(䒑龰,HbRcHl,,扩F)
𮛚	(比土,HbLqCk,,扩F)
𮛛	(舌⺃,HbJiHu,,扩F)
𮛜	(今口,HbGdPr,,扩F)
𮛝	(禾刂,HbTuRj,,扩F)
𮛞	(忄夬,HbGiSf,,扩F)
𮛟	(彐冖又,HbQjOdZn,,扩F)
𮛠	(扌另,HbVlWv,,扩F)
𮛡	(十卄兀,HbEoQlSe,,扩F)
𮛢	(大示,HbNfTh,,扩F)
𮛣	(上小又足,UxIgZnHb,,扩F)
𮛤	(日日,HbWrWr,,扩F)
𮛥	(,HbQlHz,,扩F)
𮛦	(子,HbJpLg,,扩F)
𮛧	(斤欠,HbTnKc,,扩F)
𮛨	(氏日,HbOxWr,,扩F)
𮛩	(亠𠮛,HbOdWwAk,,扩F)
𮛪	(爫夫,HbChXm,,扩F)
𮛫	(臼,HbNaBq,,扩F)
𮛬	(宀石,HbDxRa,,扩F)
𮛭	(广人,HbFiQjSk,,扩F)
𮛮	(力口寸,HbSoPrOf,,扩F)
𮛯	(口,HbRhPr,,扩F)
𮛰	(大多,HbNfDs,,扩F)
𮛱	(子力,HbGlLgSo,,扩F)
𮛲	(日生,HbWrNc,,扩F)
𮛳	(田太,HbTyAl,,扩F)
𮛴	(日皿,HbWrYz,,扩F)
𮛵	(日,HbWrTk,,扩F)
𮛶	(貝,HbPgMl,,扩F)
𮛷	(丁,HbMeNa,,扩F)
𮛸	(千龷凵,HbJyXjMd,,扩F)
𮛹	(犭虫,HbRoHk,,扩F)
𮛺	(千龷二,HbJyXjHt,,扩F)
𮛻	(勹甫,HbKlAh,,扩F)
𮛼	(夂卜日,HbSpPgWr,,扩F)
𮛽	(几,HbCiKx,,扩F)
𮛾	(音,HbHr,,扩F)
𮛿	(尸至足,ZkRnHb,,扩F)
𮜀	(彳䒑龰,HbToRcHl,,扩F)
𮜁	(鬲,HbGn,,扩F)
𮜂	(冉,HbXjMn,,扩F)
𮜃	(馬,HbXt,,扩F)
𮜄	(父多,HbHzDs,,扩F)
𮜅	(亻目,HbIuFmRc,,扩F)
𮜆	(疒矢,HbWhLv,,扩F)
𮜇	(广車,HbFiBm,,扩F)
𮜈	(力口皮,SoPrHbZs,,扩F)
𮜉	(从亻一龰,HbLcIuHl,,扩F)
𮜊	(大田寸,HbNfTyOf,,扩F)
𮜋	(車殳足,BmFnHb,,扩F)
𮜌	(艹,HbQlGoTu,,扩F)
𮜍	(罒羽,HbDdQu,,扩F)
𮜎	(爫木彡,HbChYqCd,,扩F)
𮜏	(禾刂木,HbTuRjYq,,扩F)
𮜐	(㐫禸,HbMzTk,,扩F)
𮜑	(广⺺,HbFiJaHz,,扩F)
𮜒	(厶厶厶彡,HbFiFiCd,,扩F)
𮜓	(弓厶虫,HbDzFiHk,,扩F)
𮜔	(田歹寸,HbTyNrOf,,扩F)
𮜕	(彳从疋,HbToLcIf,,扩F)
𮜖	(羊䒑口,HbAsRcPr,,扩F)
𮜗	(力口貝,HbSoPrMl,,扩F)
𮜘	(糹各,HbCpXc,,扩F)
𮜙	(业䒑未,HbEjRcEt,,扩F)
𮜚	(亻目寸,HbIuFmOf,,扩F)
𮜛	(二二人貝,HbHtHtMl,,扩F)
𮜜	(土土,HbCkXlXl,,扩F)
𮜝	(艹去皿,HbQlGkYz,,扩F)
𮜞	(宀一貝,HbDxFkMl,,扩F)
𮜟	(广耒足,FiOaZkHb,,扩F)
𮜠	(尸八田日,HbZkAyWr,,扩F)
𮜡	(敖灬,HbZvXl,,扩F)
𮜢	(扌是寸,HbVlJeOf,,扩F)
𮜣	(艹㡀攵足,QlFnVjHb,,扩F)
𮜤	(艹罒戊丶,HbQlDdMs,,扩F)
𮜥	(广罒二示,HbFiDdTh,,扩F)
𮜦	(戊上小且,HbQbUxAw,,扩F)
𮜧	(山丿㠯辛,HbBnLbVc,,扩F)
𮜨	(艹示,HbQlMeTh,,扩F)
𮜩	(隹,HbErWf,,扩F)
𮜪	(亲見,HbDkIu,,扩F)
𮜫	(止少頁足,HlVmLdHb,,扩F)
𮜬	(言幺幺攵,HbOkCpVj,,扩F)
𮜭	(龻足,JjHb,,扩F)
𮜮	(身也,FaXi,,扩F)
𮜯	(身厂㔾,FaLsJf,,扩F)
𮜰	(身工,FaEoIv,,扩F)
𮜱	(身,FaYvPv,,扩F)
𮜲	(身共,FaLi,,扩F)
𮜳	(身匚王,FaXmKs,,扩F)
𮜴	(身彐,FaIgQj,,扩F)
𮜵	(身,FaNcGh,,扩F)
𮜶	(身寸,FaBpOf,,扩F)
𮜷	(身由丂,FaKvBi,,扩F)
𮜸	(身丿丶,FaZfLbMs,,扩F)
𮜹	(身今口,FaGdPr,,扩F)
𮜺	(身革二力,FaUeHtSo,,扩F)
𮜻	(身曲辰,FaNePj,,扩F)
𮜼	(身僉,FaOg,,扩F)
𮜽	(身亲見,FaDkIu,,扩F)
𮜾	(身艹吅隹,FaQlYoWf,,扩F)
𮜿	(車丸,BmOh,,扩F)
𮝀	(車区,BmHa,,扩F)
𮝁	(月車,JsBm,,扩F)
𮝂	(車入十,BmLhEo,,扩F)
𮝃	(火車,XlBm,,扩F)
𮝄	(車六,BmQt,,扩F)
𮝅	(車弓丨,BmDzGp,,扩F)
𮝆	(車正,BmNt,,扩F)
𮝇	(車口又,BmPrZn,,扩F)
𮝈	(大車,OdNfBm,,扩F)
𮝉	(刀車,DmJzBm,,扩F)
𮝊	(車丶,BmMsBk,,扩F)
𮝋	(力口車,SoPrBm,,扩F)
𮝌	(車皮,BmZs,,扩F)
𮝍	(車{成三}{戈无一},BmAiGw,,扩F)
𮝎	(車大二⺃,BmNfHtHu,,扩F)
𮝏	(此車,VoBm,,扩F)
𮝐	(車舌,BmJi,,扩F)
𮝑	(車人⺗,BmSkGi,,扩F)
𮝒	(車豆,BmXn,,扩F)
𮝓	(車更,BmPx,,扩F)
𮝔	(車大十廾,BmNfEoQl,,扩F)
𮝕	(戸攵車,JuVjBm,,扩F)
𮝖	(車龷日,BmXjWr,,扩F)
𮝗	(車歹欠,BmNrKc,,扩F)
𮝘	(巛車,GlPvBm,,扩F)
𮝙	(車長,BmIs,,扩F)
𮝚	(車冂䒑山,BmOdRcBn,,扩F)
𮝛	(車口⺃,BmPrHuHz,,扩F)
𮝜	(車囗禾,BmXtTu,,扩F)
𮝝	(車匚䶹王,BmXmMrKs,,扩F)
𮝞	(車口羽,BmPrQu,,扩F)
𮝟	(車巛㐫,BmPvMz,,扩F)
𮝠	(車𡗗田,BmUdTy,,扩F)
𮝡	(車耳心,BmUaVi,,扩F)
𮝢	(車虫,BmHkHz,,扩F)
𮝣	(車𠮛󰈯口,BmAkIePr,,扩F)
𮝤	(車虍夂几,BmPtSpKx,,扩F)
𮝥	(車殳肖,BmFnUg,,扩F)
𮝦	(元車耳又,RlBmUaZn,,扩F)
𮝧	(車門王,BmYzKs,,扩F)
𮝨	(車隹木,BmWfYq,,扩F)
𮝩	(車白木,BmDhWjYq,,扩F)
𮝪	(壴支車,MtOiBm,,扩F)
𮝫	(車人冂口辶,BmOdSkDf,,扩F)
𮝬	(車厂林止,BmLsGlHl,,扩F)
𮝭	(車巾爻爻,BmRcSuIq,,扩F)
𮝮	(車艹直八,BmQlYdAy,,扩F)
𮝯	(車黒土,BmGpCk,,扩F)
𮝰	(車夫夫貝,BmXmXmMl,,扩F)
𮝱	(車止,BmHlXx,,扩F)
𮝲	(糸車糸亡,CpBmCpLm,,扩F)
𮝳	(车六,EpQt,,扩F)
𮝴	(车瓜,EpVw,,扩F)
𮝵	(车而,EpUi,,扩F)
𮝶	(车兵,EpCo,,扩F)
𮝷	(车十艹贝,EpEoQlQh,,扩F)
𮝸	(车十目,EpLsEoFm,,扩F)
𮝹	(车罒,EpDdAkHi,,扩F)
𮝺	(车艹曷,EpQlBl,,扩F)
𮝻	(尸口立,ZkPrJkVl,,扩F)
𮝼	(咅辛,IaVc,,扩F)
𮝽	(日罒又,VcWrDdZn,,扩F)
𮝾	(厂工,LsIvHi,,扩F)
𮝿	(尸共辰,ZkLiPj,,扩F)
𮞀	(乡曲辰,PcNePj,,扩F)
𮞁	(三辶,PsDf,,扩F)
𮞂	(乛辶,PgBmDf,,扩F)
𮞃	(丶人辶,MsSkDf,,扩F)
𮞄	(𠮛辶,AkDf,,扩F)
𮞅	(辶,HiDf,,扩F)
𮞆	(一斤辶,FkTnDf,,扩F)
𮞇	(龙辶,TlDf,,扩F)
𮞈	(兄辶,SgDf,,扩F)
𮞉	(冂巳辶,OdEwDf,,扩F)
𮞊	(今丶辶,GdMsDf,,扩F)
𮞋	(入土辶,LhCkDf,,扩F)
𮞌	(斤辶乛,TnDfBm,,扩F)
𮞍	(䒑辶,RcKlDf,,扩F)
𮞎	(女又辶,OuZnDf,,扩F)
𮞏	(巾辶,CcSuDf,,扩F)
𮞐	(口二⺃辶,PrHtHuDf,,扩F)
𮞑	(各辶,XcDf,,扩F)
𮞒	(麦辶,NqDf,,扩F)
𮞓	(夂朩辶,SpYqDf,,扩F)
𮞔	(广壬辶,FiFuDf,,扩F)
𮞕	(乛衣辶,BmHiDf,,扩F)
𮞖	(寸瓜辶,OfVwDf,,扩F)
𮞗	(去廾辶,GkQlDf,,扩F)
𮞘	(丨辶,RcHzGpDf,,扩F)
𮞙	(冉辶,RcMnDf,,扩F)
𮞚	(十艹兀辶,EoQlSeDf,,扩F)
𮞛	(雨辶,ErDf,,扩F)
𮞜	(大冂口辶,NfOdPrDf,,扩F)
𮞝	(木斤辶,YqTnDf,,扩F)
𮞞	(艹手辶,QlCjDf,,扩F)
𮞟	(艹止辶,QlHlDf,,扩F)
𮞠	(艹辶,QlHiDf,,扩F)
𮞡	(日丆又辶,WrZrZnDf,,扩F)
𮞢	(小冂口辶,IgOdPrDf,,扩F)
𮞣	(虫辶,NcHkDf,,扩F)
𮞤	(今心辶,GdViDf,,扩F)
𮞥	(丿丿辶,JzLbJzDf,,扩F)
𮞦	(夂未辶,SpEtDf,,扩F)
𮞧	(丷尸巾辶,HdZkSuDf,,扩F)
𮞨	(广人辶,FiQjSkDf,,扩F)
𮞩	(戊一女辶,QbFkOuDf,,扩F)
𮞪	(日冂口辶,WrOdPrDf,,扩F)
𮞫	(艹夕㔾辶,QlQyJfDf,,扩F)
𮞬	(口吅辶,PrYoDf,,扩F)
𮞭	(一㠯辶,IgFkUvDf,,扩F)
𮞮	(吅㐄辶,YoGhDf,,扩F)
𮞯	(由日辶,KvWrDf,,扩F)
𮞰	(白水辶,DhBkDf,,扩F)
𮞱	(丿田丿十辶,LbTyLbDf,,扩F)
𮞲	(丿卩辶,LbZkJfDf,,扩F)
𮞳	(广日人辶,FiWrSkDf,,扩F)
𮞴	(臼土辶,BqCkDf,,扩F)
𮞵	(又言辶,ZnOkDf,,扩F)
𮞶	(覀木辶,XgYqDf,,扩F)
𮞷	(𠮛吅辶,AkYoDf,,扩F)
𮞸	(一由日辶,FkKvWrDf,,扩F)
𮞹	(山酉辶,BnFdDf,,扩F)
𮞺	(手辶,KhCjDf,,扩F)
𮞻	(唐辶,MfDf,,扩F)
𮞼	(宀豕辶,DxByDf,,扩F)
𮞽	(方辶,DwLjDf,,扩F)
𮞾	(白冖方辶,DhOdLjDf,,扩F)
𮞿	(革力辶,UeSoDf,,扩F)
𮟀	(覀今丶辶,XgGdMsDf,,扩F)
𮟁	(大隹辶,NfWfDf,,扩F)
𮟂	(頁辶,YsLdDf,,扩F)
𮟃	(罒一辶,DdFkMdDf,,扩F)
𮟄	(丿㠯本辶,LbUvTmDf,,扩F)
𮟅	(豸攵辶,ByVjDf,,扩F)
𮟆	(正辶,KhNtDf,,扩F)
𮟇	(穴臣辶,KgDnDf,,扩F)
𮟈	(尸隹辶,ZkWfDf,,扩F)
𮟉	(土羊辶也,CkAsDfXi,,扩F)
𮟊	(壴彡辶,MtCdDf,,扩F)
𮟋	(艹禾女辶,QlTuOuDf,,扩F)
𮟌	(日隹辶,WrWfDf,,扩F)
𮟍	(口冖巾辶,PrJkOdDf,,扩F)
𮟎	(矢口日辶,LvPrWrDf,,扩F)
𮟏	(宀丷豕辶,DxHdByDf,,扩F)
𮟐	(口辶,KhRsPrDf,,扩F)
𮟑	(其⺃𡈼辶,KtHuFuDf,,扩F)
𮟒	(目目廾辶,FmFmQlDf,,扩F)
𮟓	(自辶,HbCvDf,,扩F)
𮟔	(⻀冖豕辶,QlOdByDf,,扩F)
𮟕	(日者辶,WrVnDf,,扩F)
𮟖	(手頁辶,CjLdDf,,扩F)
𮟗	(自宀方辶,CvDxLjDf,,扩F)
𮟘	(林聿辶,GlJaDf,,扩F)
𮟙	(隹辶,RhWfDf,,扩F)
𮟚	(丆㓁方辶,ZrHzIeDf,,扩F)
𮟛	(口广龷灬辶,PrFiXjDf,,扩F)
𮟜	(广子阝辶,FiCiLgDf,,扩F)
𮟝	(林車辶,GlBmDf,,扩F)
𮟞	(人丷巾仌仌辶,SkHdSuDf,,扩F)
𮟟	(米目辶,ZcZkFmDf,,扩F)
𮟠	(阝米舛辶,ErZcOoDf,,扩F)
𮟡	(穴酉寸辶,KgFdOfDf,,扩F)
𮟢	(扌罒土辶,VlDdCkDf,,扩F)
𮟣	(自宀谷辶,CvDxLaDf,,扩F)
𮟤	(臣口吅辶,DnNcPrDf,,扩F)
𮟥	(門土羊辶,YzCkAsDf,,扩F)
𮟦	(夂田丷豕辶,SpTyHdDf,,扩F)
𮟧	(土口斉辶,CkPrHiDf,,扩F)
𮟨	(尸羊羊辶,ZkAsAsDf,,扩F)
𮟩	(口罒糹隹辶,PrDdCpDf,,扩F)
𮟪	(弋阝,WlEr,,扩F)
𮟫	(彡阝,CdEr,,扩F)
𮟬	(又阝,LsZnEr,,扩F)
𮟭	(公阝,WhEr,,扩F)
𮟮	(六阝,QtEr,,扩F)
𮟯	(冂阝,OdVlEr,,扩F)
𮟰	(冊阝,TeEr,,扩F)
𮟱	(冂口阝,OdPrEr,,扩F)
𮟲	(八口阝,AyPrEr,,扩F)
𮟳	(用阝,UfEr,,扩F)
𮟴	(亠幺阝,WwCpEr,,扩F)
𮟵	(八阝,AyVlEr,,扩F)
𮟶	(力口邑,SoPrDv,,扩F)
𮟷	(一旦阝,FkUwEr,,扩F)
𮟸	(一冉阝,FkMnEr,,扩F)
𮟹	(吅邑,YoDv,,扩F)
𮟺	(合邑,NvDv,,扩F)
𮟻	(日工阝,WrIvEr,,扩F)
𮟼	(文口阝,HfPrEr,,扩F)
𮟽	(阝,AkIgEr,,扩F)
𮟾	(从邑,RsLcDv,,扩F)
𮟿	(尸目阝,ZkFmEr,,扩F)
𮠀	(山幺幺阝,BnCpCpEr,,扩F)
𮠁	(丿田廾阝,LbTyQlEr,,扩F)
𮠂	(刀貝阝,JzMlEr,,扩F)
𮠃	(自木邑,CvYqDv,,扩F)
𮠄	(田阝,CiTyEr,,扩F)
𮠅	(巛邑邑,PvDvDv,,扩F)
𮠆	(龷里阝,XjGhEr,,扩F)
𮠇	(耳又氏阝,UaZnOxEr,,扩F)
𮠈	(宀日阝,DxWrTkEr,,扩F)
𮠉	(癶貝阝,MeMlEr,,扩F)
𮠊	(言阝,UvOkEr,,扩F)
𮠋	(卯亞阝,TpPaEr,,扩F)
𮠌	(鹿阝,NaDoEr,,扩F)
𮠍	(六阝,QtXjHiEr,,扩F)
𮠎	(尸毛耳阝,ZkGoUaEr,,扩F)
𮠏	(木幺木大邑,YqCpYqDv,,扩F)
𮠐	(句古月阝,NwObJsEr,,扩F)
𮠑	(亚丿比阝,SzLbThEr,,扩F)
𮠒	(广黑阝,FiGpEr,,扩F)
𮠓	(山豕豕阝,BnByByEr,,扩F)
𮠔	(广黑土阝,FiGpCkEr,,扩F)
𮠕	(襾二,XgHt,,扩F)
𮠖	(酉,NcFd,,扩F)
𮠗	(酉乛一,FdBmFk,,扩F)
𮠘	(酉丶,FdNaMs,,扩F)
𮠙	(一酉,FkSjFd,,扩F)
𮠚	(卄三,NcQlOdPs,,扩F)
𮠛	(酉木,FdYq,,扩F)
𮠜	(酉爪,FdCh,,扩F)
𮠝	(酉夭,FdFo,,扩F)
𮠞	(酉㔾,FdGoJf,,扩F)
𮠟	(酉巴,FdSl,,扩F)
𮠠	(酉厶儿,FdFiDi,,扩F)
𮠡	(大丷酉,NfHdFd,,扩F)
𮠢	(酉末,FdMk,,扩F)
𮠣	(酉夕卩,FdQyJf,,扩F)
𮠤	(酉勹亾,FdKlAn,,扩F)
𮠥	(酉士口,FdNxPr,,扩F)
𮠦	(酉小大,FdIgNf,,扩F)
𮠧	(酉行,FdEf,,扩F)
𮠨	(酉多,FdDs,,扩F)
𮠩	(酉米,FdZc,,扩F)
𮠪	(酉羽,FdQu,,扩F)
𮠫	(酉子,FdGlLg,,扩F)
𮠬	(酉五口,FdIsPr,,扩F)
𮠭	(口酉,RsPrFd,,扩F)
𮠮	(酉一从土,FdFkLcCk,,扩F)
𮠯	(上夕又酉,UxQyZnFd,,扩F)
𮠰	(酉日日,FdWrWr,,扩F)
𮠱	(酉禾口,FdTuPr,,扩F)
𮠲	(酉龹力,FdKbSo,,扩F)
𮠳	(酉厶大彡,FdFiNfCd,,扩F)
𮠴	(酉子皿,FdLgYz,,扩F)
𮠵	(酉𡈼旦,FdFuUw,,扩F)
𮠶	(酉咼,FdUv,,扩F)
𮠷	(酉禾日,FdTuWr,,扩F)
𮠸	(酉日夂,FdNcWrSp,,扩F)
𮠹	(酉爫一友,FdChFkAm,,扩F)
𮠺	(酉冖巾,FdJkOdSu,,扩F)
𮠻	(酉大,FdAsNf,,扩F)
𮠼	(酉气米,FdDmZc,,扩F)
𮠽	(酉王夂几,FdKsZsKx,,扩F)
𮠾	(酉囗,FdPgXtZc,,扩F)
𮠿	(酉爿寸,FdHwMeOf,,扩F)
𮡀	(酉口辶,FdRsPrDf,,扩F)
𮡁	(酉大貝,FdOdNfMl,,扩F)
𮡂	(丷覀二戊,HdXgHtAk,,扩F)
𮡃	(酋口一,HxUbPrFk,,扩F)
𮡄	(酉彐彐人⺗,FdQjQjGi,,扩F)
𮡅	(酉业䒑未,FdEjRcEt,,扩F)
𮡆	(尸共殳酉,ZkLiFnFd,,扩F)
𮡇	(酉匕矢龴疋,FdYsLvIf,,扩F)
𮡈	(酉艹去皿,FdQlGkYz,,扩F)
𮡉	(人非心酉,SkYxViFd,,扩F)
𮡊	(酉羽亠从十,FdQuWwEo,,扩F)
𮡋	(酉止夕又米,FdHlQyZc,,扩F)
𮡌	(酉亠从,FdWwLcHi,,扩F)
𮡍	(酉艹𡈼旦灬,FdQlFuXl,,扩F)
𮡎	(釆女,RuOu,,扩F)
𮡏	(釆支,RuOi,,扩F)
𮡐	(釆占灬,RuJxXl,,扩F)
𮡑	(士殳釆,NxZkFnRu,,扩F)
𮡒	(里云,GhYv,,扩F)
𮡓	(里口一⺃,GhPrFkHu,,扩F)
𮡔	(里口二⺃,GhPrHtHu,,扩F)
𮡕	(𡈼旦弓丨,FuUwDzGp,,扩F)
𮡖	(亻尹里,IuWnGh,,扩F)
𮡗	(禾刂里,TuRjGh,,扩F)
𮡘	(牙勹丿里,XhKlLbGh,,扩F)
𮡙	(里長,GhIs,,扩F)
𮡚	(禾尢丶里,TuSeMsGh,,扩F)
𮡛	(旦里扌丿七,UwGhVlSj,,扩F)
𮡜	(里乛耳攵,GhBmUaVj,,扩F)
𮡝	(口亻尹口里,PrIuWnGh,,扩F)
𮡞	(士殳𡈼旦,NxZkFnUw,,扩F)
𮡟	(匚矢攵厂里,XmLvVjGh,,扩F)
𮡠	(匚矢殳厂里,XmLvFnGh,,扩F)
𮡡	(𡈼旦匚艹口,FuUwXmPr,,扩F)
𮡢	(丁里予,CiNaGhAn,,扩F)
𮡣	(相里,ErXuGh,,扩F)
𮡤	(釒与,LuWe,,扩F)
𮡥	(釒巾,LuSu,,扩F)
𮡦	(釒习,LuHg,,扩F)
𮡧	(釒犬,LuRo,,扩F)
𮡨	(釒五,LuIs,,扩F)
𮡩	(釒凵十,LuMdEo,,扩F)
𮡪	(釒丿乛丨丿,LuLbBmLb,,扩F)
𮡫	(釒亻厶,LuIuFi,,扩F)
𮡬	(釒亠卜,LuWwPg,,扩F)
𮡭	(釒又,LuThZn,,扩F)
𮡮	(釒未,LuEt,,扩F)
𮡯	(釒夕卩,LuQyJf,,扩F)
𮡰	(釒人干,LuSkYc,,扩F)
𮡱	(釒冂,LuOdCy,,扩F)
𮡲	(釒早,LuQf,,扩F)
𮡳	(釒卩,LuXzJf,,扩F)
𮡴	(釒友,LuNcAm,,扩F)
𮡵	(釒九日,LuTqWr,,扩F)
𮡶	(釒亻尹,LuIuWn,,扩F)
𮡷	(釒力力力,LuSoSoSo,,扩F)
𮡸	(釒土,LuUxCk,,扩F)
𮡹	(釒囗㐅,LuXtCdQi,,扩F)
𮡺	(釒丿丶,LuLbEgMs,,扩F)
𮡻	(釒手廴,LuCjTk,,扩F)
𮡼	(釒小刂,LuNaIgRj,,扩F)
𮡽	(釒矢,LuNcLv,,扩F)
𮡾	(釒氵及,LuMeVk,,扩F)
𮡿	(釒厶疋,LuFiIf,,扩F)
𮢀	(釒癶又,LuMeZn,,扩F)
𮢁	(釒己心,LuEnVi,,扩F)
𮢂	(釒丅从又,LuZrLcZn,,扩F)
𮢃	(釒与古,LuWeOb,,扩F)
𮢄	(釒耳卩,LuUaJf,,扩F)
𮢅	(釒林,LuGl,,扩F)
𮢆	(釒日丿廾,LuWrLbQl,,扩F)
𮢇	(釒口⺃木,LuPrHuYq,,扩F)
𮢈	(釒艹力,LuQlSoAy,,扩F)
𮢉	(釒囗主,LuXtAu,,扩F)
𮢊	(釒山今丶,LuBnGdMs,,扩F)
𮢋	(釒由廾,LuKvQl,,扩F)
𮢌	(釒十,LuUvEo,,扩F)
𮢍	(釒亻舌,LuIuJi,,扩F)
𮢎	(釒乂朩刂,LuQiYqRj,,扩F)
𮢏	(釒舌刂,LuJiRj,,扩F)
𮢐	(釒手辶,LuCjDf,,扩F)
𮢑	(釒戶乛口,LuJuBmPr,,扩F)
𮢒	(牜攵金,RsVjLu,,扩F)
𮢓	(釒方攵,LuLjVj,,扩F)
𮢔	(釒广主,LuFiAu,,扩F)
𮢕	(釒斉,LuEy,,扩F)
𮢖	(釒宀,LuDxUd,,扩F)
𮢗	(氵友丶金,MeAmMsLu,,扩F)
𮢘	(釒广人,LuFiQjSk,,扩F)
𮢙	(釒正攵,LuNtVj,,扩F)
𮢚	(釒木,LuJpYq,,扩F)
𮢛	(釒甬力,LuXdSo,,扩F)
𮢜	(釒口,LuRhPr,,扩F)
𮢝	(王彡金,KsGoCdLu,,扩F)
𮢞	(釒甘欠,LuYpKc,,扩F)
𮢟	(釒罒止,LuDdHl,,扩F)
𮢠	(釒田比,LuTyLq,,扩F)
𮢡	(釒白日,LuDhWr,,扩F)
𮢢	(釒夂聿,LuSpJa,,扩F)
𮢣	(釒音,LuHr,,扩F)
𮢤	(金氵各,LuMeXc,,扩F)
𮢥	(釒㐫夊,LuMzSp,,扩F)
𮢦	(釒疋,LuIfHz,,扩F)
𮢧	(釒又貝,LuZnMl,,扩F)
𮢨	(釒十戈王,LuEoGwKs,,扩F)
𮢩	(釒丆目夂,LuZrFmSp,,扩F)
𮢪	(釒冂䒑山刂,LuOdRcRj,,扩F)
𮢫	(釒龷丿冂,LuXjLbVl,,扩F)
𮢬	(釒忄五口,LuGiIsPr,,扩F)
𮢭	(釒丷开辶,LuHdCmDf,,扩F)
𮢮	(釒⺶月,LuAsJs,,扩F)
𮢯	(釒冫欠心,LuWjKcVi,,扩F)
𮢰	(釒宀儿友丶,LuDxDiMs,,扩F)
𮢱	(釒聿辶,LuJaDf,,扩F)
𮢲	(釒厶大由,LuFiNfKv,,扩F)
𮢳	(阝丶艮金,ErMsIxLu,,扩F)
𮢴	(釒艹谷,LuQlLa,,扩F)
𮢵	(釒土欠,LuCkXlKc,,扩F)
𮢶	(匚矢殳金,XmLvFnLu,,扩F)
𮢷	(釒老可,LuPfUr,,扩F)
𮢸	(止攵金,HlHlVjLu,,扩F)
𮢹	(釒虍夂几,LuPtSpKx,,扩F)
𮢺	(釒犭其,LuRoKt,,扩F)
𮢻	(釒祭,LuMe,,扩F)
𮢼	(釒八分皿,LuAyDjYz,,扩F)
𮢽	(釒玉,LuBmJg,,扩F)
𮢾	(釒十戈口工,LuEoGwIv,,扩F)
𮢿	(釒音{戈无一},LuHrGw,,扩F)
𮣀	(釒戸雨,LuJuEr,,扩F)
𮣁	(釒止米凵,LuHlZcMd,,扩F)
𮣂	(龷攵金,XjHzVjLu,,扩F)
𮣃	(釒早戈,LuPgQfGw,,扩F)
𮣄	(先先金,AeAeLu,,扩F)
𮣅	(釒貝,LuMeMl,,扩F)
𮣆	(釒亻龷丿用,LuIuXjUf,,扩F)
